Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000184349,EFNA5,0.40328382687085657,0.01860415507327473,0.9441494899570809,0.3753078654099339,-0.1111897287368091,0.5242050930600114,0.6053934836668752,0.6114409817455954,0.21674145087404825
ENSG00000145743,FBXL17,0.8202419707992287,-0.2934229332150543,0.0179228013915842,1.018692777541249,0.3109507011126999,0.01617736356593797,0.8792619643733187,0.06032382300554262,0.8767258467485017
ENSG00000151422,FER,0.9550316675090252,-0.44928020268444524,0.000175880403660763,1.2974929061314857,0.4323327169147759,0.0005272954126791979,1.3693424035322177,0.4515057124388723,0.3084568806997358
ENSG00000198961,PJA2,2.8344905786364456,0.4133078617016881,0.0007833235769803479,2.185976832408064,-0.3664584184262256,0.004658005803407594,1.59996849254817,-0.7910211105004077,0.19041518459938983
ENSG00000112893,MAN2A1,0.852365763251805,-0.029118890968490962,0.8097808459221201,0.9007388769838413,0.08676609601608837,0.5541424624663188,0.5765652225398811,-0.5591825498191174,0.5741943190424124
ENSG00000186952,TMEM232,0.06750337468075156,-3.121089299767484,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000005921290267967985,0.17922865409372352,0.4453572266601067,0.030962290607823708,4.439552213557085,5.750724406740629,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005906610770868604
ENSG00000164209,SLC25A46,0.3017031858721693,0.10478888895316807,0.556964995581963,0.2818638662670524,-0.09023585322082162,0.6485525877298876,0.2594543501429465,-0.14911338349525605,0.9795222214693803
ENSG00000145777,TSLP,0.28607539494929435,1.2177135198812523,0.0000000001508956463823248,0.12561324474944727,-1.1578986304184964,0.000000005101498444895672,0.08648478338098217,-1.4207911020374144,0.0875034726207843
ENSG00000134987,WDR36,1.3735091799993435,0.8370388812752134,0.0000000005003640529762107,0.7950399271336966,-0.7747384031877629,0.000000037937192922539594,0.518908700285893,-1.3079184044363976,0.023283841338832847
ENSG00000152495,CAMK4,0.11937895843862815,-1.3602892561828432,0.0000000000000001140492584344493,0.31556498071202604,1.387667297239946,0.00000000000000027216249879602536,0.21621195845245542,0.6599457263500681,0.3952242825331398
ENSG00000164211,STARD4,0.5743213164156548,0.34521375559342127,0.018582764581629704,0.4764112087448548,-0.2540540544771407,0.10313469404698196,0.21621195845245542,-1.3063111207632683,0.052353404656747586
