Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000121691,CAT,1.1484353122829223,-1.0205293764824304,0.000000000000000000007161296392490565,2.3315554160238556,1.0205293764824304,0.000000000000000000007161296392490565
ENSG00000135374,ELF5,0.06907554932967075,-2.323536889829528,0.000000000000000000000000000000000000000015467485981156171,0.34587494646689587,2.323536889829528,0.000000000000000000000000000000000000000015467485981156171
ENSG00000135373,EHF,0.2895525385422991,-1.3292505410239213,0.000000000000000000017662389332711472,0.7275775766315579,1.3292505410239213,0.000000000000000000017662389332711472
ENSG00000149089,APIP,0.4685407544154082,0.032431202322274366,0.8737853514100827,0.4574919610637826,-0.032431202322274366,0.8737853514100827
ENSG00000110435,PDHX,0.607777946617669,0.4924054425868074,0.0007467188176233522,0.4313101922077227,-0.4924054425868074,0.0007467188176233522
ENSG00000026508,CD44,15.86304785046288,0.7628915315119462,0.0000000001798432597207406,9.357915384289601,-0.7628915315119462,0.00000000017984325972057704
ENSG00000110436,SLC1A2,0.020201339898299937,-1.694043229137999,0.00000007902248121698471,0.06476542822288488,1.694043229137999,0.00000007902248121698471
ENSG00000149090,PAMR1,0.061472894529235295,-1.491202384089715,0.00000000000005510740338514925,0.1722484793161832,1.491202384089715,0.00000000000005510740338514925
ENSG00000179431,FJX1,0.051915271351545,-1.0047064979295475,0.00003774583426930324,0.10334908758970993,1.0047064979295475,0.00003774583426930324
ENSG00000166326,TRIM44,0.8234761242414523,-0.6514432777612209,0.00000003635678531451772,1.2939305766231681,0.6514432777612209,0.00000003635678531451772
ENSG00000179241,LDLRAD3,0.254580326460296,0.1572782865871034,0.387204903693734,0.22736799269736183,-0.1572782865871034,0.38720490369342875
ENSG00000110442,COMMD9,0.20462002348600583,-0.8104616159892681,0.00000007281516194139625,0.35827683697766105,0.8104616159892681,0.00000007281516194139625
ENSG00000135362,PRR5L,0.3840426767762827,-0.7606476207434172,0.000000006775772922816168,0.6504102578979077,0.7606476207434172,0.000000006775772922816168
ENSG00000175104,TRAF6,0.34472609052260217,-0.348086996716392,0.014634758513604337,0.43820013138037006,0.348086996716392,0.014634758513604337
